start_id,end_id,type,doc_id
2014年,神经机器翻译,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
20世纪90年代,自然语言处理,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
20世纪第二个10年,机器阅读理解,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
20世纪第二个10年,自然语言推理,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
21世纪,统计方法,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
ACL,计算语言学,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
BLEU,神经机器翻译,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
BLEU,统计机器翻译,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
EMNLP,自然语言处理,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
Google DeepMind,神经机器翻译,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
IBM模型,IBM研究中心,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
IBM模型,n元语言模型,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
IBM模型,统计机器翻译,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
MERT方法,统计机器翻译,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
PyTorch,自然语言处理,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
SMILES码,自然语言处理,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
TensorFlow,自然语言处理,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
n元语言模型,最小错误率训练,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
n元语言模型,统计机器翻译,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
上海,中国,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
上海交通大学,命名实体,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
人工智能,自然语言处理,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
人工智能,计算机视觉,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
人类基因组序列,自然语言处理,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
人类语言,自然语言,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
人类语言,自然语言处理,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
修饰语附着问题,图1.2,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
修饰语附着问题,常识知识,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
修饰语附着问题,形式语义,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
修饰语附着问题,统计机器学习模型,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
修饰语附着问题,自然语言,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
修饰语附着问题,自然语言处理,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
修饰语附着问题,词性,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
修饰语附着问题,语法,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
修饰语附着问题,量词范围问题,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
印欧语系,德语,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
印欧语系,英语,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
双语平行语料库,统计机器翻译,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
双语词典,机器翻译,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
古特雷斯,联合国秘书长,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
句子结构,翻译系统,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
句法,语言学知识,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
句法分析,自然语言处理,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
听众模型,翻译系统,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
命名实体,常识知识,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
命名实体,新型冠状病毒肺炎,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
命名实体,苏格兰场,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
哲学,自然语言处理,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
图形处理器,神经机器翻译,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
外部知识,自然语言理解,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
多轮对话,省略表达问题,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
学术出版体系,自然语言处理,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
实体关系,常识知识,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
对话系统,自然语言处理,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
对话规则,翻译系统,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
巴希勒悖论,耶霍舒亚·巴希勒,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
常识,翻译系统,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
常识知识,自然语言处理,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
广义符号处理,自然语言处理,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
形式语义,语言学知识,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
形态分析,自然语言处理,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
心理学,自然语言处理,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
心理语言学,自然语言理解,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
情感分析,机器翻译,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
情感分析,自然语言处理,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
情感判断,自然语言理解,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
意图识别,自然语言理解,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
拟人反馈,自然语言理解,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
数学基础课程,自然语言处理,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
文本,自然语言处理,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
日语,省略表达问题,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
最小错误率训练,统计机器翻译,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
最终用户,自然语言处理,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
机器学习,自然语言处理,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
机器翻译,沃伦·韦弗,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
机器翻译,统计机器翻译方法,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
机器翻译,自动语言处理咨询委员会,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
机器翻译,自然语言处理,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
机器翻译,自然语言理解,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
机器阅读理解,自然语言理解,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
歧义问题,自然语言处理,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
泰卢固语,达罗毗荼语系,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
泰米尔语,达罗毗荼语系,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
漏译,神经机器翻译,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
理论语言学,自然语言处理,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
理论语言学,计算语言学,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
生僻词,神经机器翻译,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
生理学,自然语言处理,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
目标函数,神经机器翻译,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
社会语言学,自然语言理解,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
神经机器翻译,端到端,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
神经机器翻译,统计机器翻译,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
神经机器翻译,翻译不充分,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
神经机器翻译,过度翻译,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
篇章分析,自然语言处理,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
约翰·罗宾森·皮尔斯,自动语言处理咨询委员会,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
统计方法,自然语言处理,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
编程语言,自然语言,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
编程语言,自然语言处理,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
翻译模型,词对齐,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
翻译系统,词义,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
自然语言,语言的时空演化,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
自然语言处理,自然语言理解,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
自然语言处理,蛋白质序列,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
自然语言处理,规则方法,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
自然语言处理,计算机基础课程,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
自然语言处理,计算机科学,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
自然语言处理,计算能力,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
自然语言处理,计算语言学,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
自然语言处理,认知科学,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
自然语言处理,语义分析,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
自然语言处理,语言处理层次,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
自然语言处理,语言学,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
自然语言处理,语言学知识,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
自然语言处理,语言建模和表示,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
自然语言处理,语言理解和语言推理,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
自然语言处理,语音,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
自然语言处理,语音处理,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
自然语言推理,自然语言理解,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
自然语言理解,认知语言学,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
自然语言理解,语义,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
自然语言理解,语用,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
自然语言理解,语言歧义性,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
词性,语言学知识,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
